player,2020_pos,2020_age,team_id,2020_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,player_id,2021_pos,2021_age,2021_g,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Otto Porter,SF,26,CHI,14,331,15.8,.550,.443,.193,4.1,12.3,8.0,11.9,2.2,1.7,6.8,21.0,,0.4,0.4,0.8,.112,,0.8,0.2,1.0,0.3,porteot01,SF,27,10,235,18.1,.593,.500,.281,6.7,22.6,14.8,12.4,1.6,0.0,8.5,20.6,,0.5,0.1,0.7,.136,,2.2,-1.1,1.1,0.2,27250576,28489239,https://www.basketball-reference.com/req/202101021/images/players/porteot01.jpg
Bobby Portis,PF,24,MIL,66,1393,14.6,.530,.317,.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,,0.9,1.0,1.9,.064,,0.0,-1.1,-1.1,0.3,portibo01,C,25,10,242,18.7,.614,.241,.181,10.4,25.6,18.2,8.3,1.9,1.8,13.5,17.8,,0.5,0.4,0.9,.174,,1.1,-0.5,0.6,0.2,15000000,3623000,https://www.2kratings.com/wp-content/uploads/Bobby-Portis-2K-Rating.png
Kristaps Porziņģis,C,24,DAL,57,1814,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,,2.6,2.6,5.2,.138,,1.8,0.1,1.9,1.8,porzikr01,,,,,,,,,,,,,,,,,,,,,,,,,,,27285000,29467800,https://www.2kratings.com/wp-content/uploads/Kristaps-Porzingis-2K-Rating.png
Dwight Powell,C,28,DAL,40,1061,15.9,.677,.170,.485,7.5,14.8,11.2,7.7,1.5,1.8,11.5,12.6,,2.6,1.0,3.6,.162,,0.4,0.9,1.3,0.9,poweldw01,C,29,9,178,11.9,.567,.167,.733,6.3,13.5,10.0,8.7,3.0,2.8,16.8,11.9,,0.2,0.3,0.5,.133,,-3.1,2.0,-1.1,0.0,10259375,10185185,https://www.2kratings.com/wp-content/uploads/Dwight-Powell-2K-Rating.png
Norman Powell,SG,26,TOR,52,1479,16.8,.624,.457,.256,1.9,11.4,6.8,9.7,1.9,1.4,10.4,21.5,,2.3,2.3,4.6,.150,,1.2,0.8,2.0,1.5,powelno01,SG,27,8,186,10.7,.545,.522,.403,0.0,7.2,3.5,3.9,2.5,1.0,9.2,19.8,,0.0,0.1,0.2,.048,,-2.4,-0.3,-2.7,0.0,10116576,10865952,https://www.2kratings.com/wp-content/uploads/Norman-Powell-2K-Rating.png
Taurean Prince,PF,25,BRK,64,1857,9.1,.497,.583,.120,2.8,18.1,10.6,9.2,1.5,1.1,14.0,20.4,,-1.7,2.3,0.6,.014,,-2.8,-0.1,-2.9,-0.4,princta02,PF,26,10,172,10.8,.542,.508,.443,0.0,13.3,7.0,3.1,1.9,3.2,11.0,19.9,,0.0,0.3,0.3,.074,,-3.8,-0.1,-3.9,-0.1,3481986,13942308,https://www.2kratings.com/wp-content/uploads/Taurean-Prince-2K-Rating.png
Chasson Randle,PG,26,GSW,3,40,6.7,.377,.500,1.500,0.0,5.6,2.7,15.7,2.4,0.0,0.0,7.1,,0.0,0.0,0.0,.045,,-6.0,0.2,-5.8,0.0,randlch01,,,,,,,,,,,,,,,,,,,,,,,,,,,91557,,https://www.basketball-reference.com/req/202101021/images/players/randlch01.jpg
Julius Randle,PF,25,NYK,64,2080,17.5,.538,.230,.350,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,,0.9,1.8,2.7,.062,,0.7,-1.0,-0.3,0.9,randlju01,PF,26,9,339,19.2,.576,.219,.377,5.0,27.2,16.4,33.3,0.9,0.6,18.9,27.8,,0.4,0.6,0.9,.131,,1.9,1.2,3.1,0.4,18000000,18900000,https://www.2kratings.com/wp-content/uploads/Julius-Randle-2K-Rating.png
Josh Reaves,SF,22,DAL,4,28,5.8,.405,.222,.222,3.8,7.4,5.6,14.2,0.0,0.0,0.0,15.1,,0.0,0.0,0.0,.031,,-5.9,-4.0,-9.9,-0.1,reavejo02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/reavejo02.jpg
Cam Reddish,SF,20,ATL,58,1551,9.0,.500,.451,.227,2.4,12.7,7.5,8.0,1.9,1.5,13.6,18.9,,-1.2,0.8,-0.4,-0.011,,-3.3,-1.0,-4.2,-0.9,reddica01,SF,21,9,261,8.3,.473,.490,.276,2.4,13.7,8.1,6.6,2.4,0.7,12.0,19.9,,-0.2,0.3,0.1,.016,,-3.9,-0.4,-4.3,-0.2,4245720,4458000,https://www.2kratings.com/wp-content/uploads/Cam-Reddish-2K-Rating.png
J.J. Redick,SG,35,NOP,60,1581,15.4,.644,.629,.293,0.7,9.5,5.1,10.8,0.6,0.5,9.5,20.4,,3.6,0.6,4.1,.125,,2.3,-1.7,0.7,1.1,redicjj01,SG,36,9,189,5.7,.480,.698,.206,0.6,6.9,3.8,6.8,0.5,0.0,6.8,16.6,,0.0,0.1,0.1,.033,,-4.3,-2.1,-6.4,-0.2,13486300,13013700,https://www.2kratings.com/wp-content/uploads/JJ-Redick-2K-Rating.png
Naz Reid,C,20,MIN,30,495,15.3,.505,.399,.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,,0.2,0.6,0.8,.074,,-1.6,-0.3,-1.9,0.0,reidna01,C,21,9,172,19.3,.637,.324,.324,5.3,18.9,11.6,11.0,1.1,5.0,11.4,21.2,,0.4,0.1,0.4,.118,,-0.4,-0.2,-0.6,0.1,898310,1517981,https://www.2kratings.com/wp-content/uploads/Naz-Reid-2K-Rating.png
Josh Richardson,SG,26,DAL,55,1693,12.0,.533,.385,.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,,0.5,1.7,2.1,.061,,-1.4,-0.4,-1.8,0.1,richajo01,SG,27,8,260,10.4,.537,.526,.179,3.9,5.9,4.9,7.8,1.3,0.8,8.9,19.2,,0.1,0.3,0.4,.074,,-2.3,-1.7,-4.0,-0.1,10100000,10800000,https://www.2kratings.com/wp-content/uploads/Josh-Richardson-2K-Rating.png
Austin Rivers,SG,27,NYK,68,1594,10.4,.542,.539,.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,,1.2,1.2,2.4,.072,,-2.1,-0.4,-2.5,-0.2,riverau01,SG,28,5,136,17.4,.691,.574,.000,0.8,8.8,4.9,19.2,1.4,0.0,11.3,16.9,,0.3,0.1,0.5,.166,,2.7,0.5,3.2,0.2,2174318,3174603,https://www.2kratings.com/wp-content/uploads/Austin-Rivers-2K-Rating.png
