player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link,2021_preseason_salary,position
T.J. Leaf,PF,22,IND,28,1,7.9,1.3,3.1,.419,0.2,0.6,.278,1.1,2.4,.456,.448,0.3,0.6,.438,0.8,1.7,2.5,0.3,0.4,0.1,0.3,0.8,3.0,leaftj01,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,12.9,.451,.209,.186,11.5,23.5,17.5,5.7,2.2,1.6,7.9,20.0,,-0.1,0.4,0.3,.061,,-2.5,0.1,-2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,2813280,4326825,https://www.basketball-reference.com/req/202101021/images/players/leaftj01.jpg,4326825,PF
Jalen Lecque,SG,19,PHO,5,0,6.4,0.8,2.0,.400,0.0,0.8,.000,0.8,1.2,.667,.400,0.4,0.4,1.000,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.6,2.0,lecquja01,PG,20,4,0,3.0,0.3,2.3,.111,0.0,0.3,.000,0.3,2.0,.125,.111,0.8,0.8,1.000,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3,32,2.7,.460,.400,.200,0.0,7.0,3.5,8.6,0.0,0.0,15.5,17.1,,0.0,0.0,0.0,-0.065,,-7.1,-2.9,-10.0,-0.1,12,4.8,.242,.111,.333,18.6,28.2,23.4,21.2,0.0,0.0,0.0,37.1,,-0.1,0.0,-0.1,-0.235,,-6.3,-6.8,-13.1,0.0,898310,1517981,https://www.2kratings.com/wp-content/uploads/Jalen-Lecque-2K-Rating.png,1517981,PG
Courtney Lee,SG,34,FA,24,9,14.4,1.7,3.4,.488,0.9,2.0,.447,0.8,1.5,.543,.616,0.3,0.3,.857,0.3,1.0,1.3,0.5,0.8,0.3,0.5,1.4,4.5,leeco01,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,10.8,.629,.573,.085,2.2,7.5,4.9,4.7,2.5,1.5,11.4,11.9,,0.3,0.3,0.7,.092,,-2.1,1.5,-0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,12759670,,https://www.basketball-reference.com/req/202101021/images/players/leeco01.jpg,,SG
Damion Lee,SG,27,GSW,49,36,29.0,4.3,10.4,.417,1.7,4.9,.356,2.6,5.6,.471,.500,2.2,2.6,.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7,leeda03,SG,28,44,1,19.1,2.3,4.9,.456,1.4,3.6,.388,0.8,1.3,.649,.599,0.8,0.8,.892,0.4,2.8,3.2,1.4,0.6,0.1,0.5,1.5,6.7,1423,12.7,.548,.468,.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19.0,,0.9,0.8,1.7,.058,,-1.5,-0.8,-2.3,-0.1,839,12.0,.628,.737,.171,2.0,15.5,8.8,9.9,1.5,0.6,7.9,12.8,,1.1,0.9,2.1,.118,,-0.5,0.3,-0.2,0.4,842327,1762796,https://www.2kratings.com/wp-content/uploads/Damion-Lee-2K-Rating.png,1762796,SG
Alex Len,C,26,FA,55,12,17.6,3.2,5.8,.555,0.3,1.1,.271,2.9,4.7,.619,.580,1.2,1.9,.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0,lenal01,C,27,35,13,14.8,2.4,3.7,.648,0.2,0.6,.300,2.2,3.1,.713,.672,1.2,2.0,.609,0.8,2.7,3.5,0.9,0.3,1.2,0.9,1.9,6.1,970,17.7,.600,.185,.329,11.1,25.2,18.0,7.9,1.1,4.3,13.1,18.1,,1.5,1.0,2.5,.122,,-0.5,-0.3,-0.7,0.3,517,16.2,.676,.156,.539,5.7,20.0,12.8,9.2,0.9,6.9,16.8,15.4,,0.7,0.6,1.3,.124,,-1.3,1.6,0.2,0.3,4160000,4032648,https://www.2kratings.com/wp-content/uploads/Alex-Len-2K-Rating.png,,C
Kawhi Leonard,SF,28,LAC,57,57,32.4,9.3,19.9,.470,2.2,5.7,.378,7.2,14.2,.506,.524,6.2,7.1,.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,leonaka01,SF,29,37,37,34.4,9.4,18.2,.516,2.0,5.0,.400,7.4,13.2,.561,.571,5.2,5.9,.876,0.9,5.4,6.3,4.8,1.8,0.5,1.9,1.7,25.9,1848,26.9,.589,.287,.355,3.1,19.1,11.3,26.4,2.6,1.6,10.2,33.0,,5.4,3.3,8.7,.226,,6.5,2.4,8.9,5.1,1274,27.0,.624,.275,.324,3.1,17.2,10.3,23.3,2.6,1.2,8.2,29.1,,4.8,1.7,6.5,.245,,5.6,1.1,6.7,2.8,32742000,34379100,https://www.2kratings.com/wp-content/uploads/Kawhi-Leonard-2K-Rating.png,34379100,SF
Meyers Leonard,C,27,FA,51,49,20.3,2.3,4.6,.509,1.0,2.5,.414,1.3,2.1,.623,.622,0.4,0.5,.643,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,6.1,leoname01,C,28,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3,1034,10.6,.627,.547,.120,3.4,24.0,14.1,7.6,0.7,1.4,13.7,12.2,,0.9,1.2,2.1,.096,,-1.3,0.4,-0.9,0.3,29,6.6,.635,1.000,.286,0.0,25.8,13.4,10.0,0.0,0.0,20.2,15.2,,0.0,0.0,0.0,.045,,-3.5,-0.9,-4.4,0.0,11286515,9756098,https://www.2kratings.com/wp-content/uploads/Meyers-Leonard-2K-Rating.png,,C
Caris LeVert,SG,25,BRK,45,31,29.6,6.9,16.3,.425,1.8,4.9,.364,5.1,11.4,.451,.480,3.1,4.4,.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7,leverca01,SG,26,19,11,29.3,6.8,16.1,.425,1.9,5.6,.349,4.9,10.5,.465,.485,2.2,2.8,.792,0.8,3.5,4.3,5.3,1.3,0.3,1.9,1.7,17.8,1330,16.1,.514,.301,.269,3.9,10.7,7.4,25.0,1.9,0.6,12.6,29.5,,0.1,1.4,1.5,.055,,0.6,-0.9,-0.3,0.5,556,17.4,.515,.346,.173,3.1,13.2,8.3,27.8,2.1,0.9,9.9,28.5,,0.4,0.5,0.9,.076,,0.4,-0.5,-0.2,0.3,2625718,16203704,https://www.2kratings.com/wp-content/uploads/Caris-LeVert-2K-Rating.png,16203704,SG
Damian Lillard,PG,29,POR,66,66,37.5,9.5,20.4,.463,4.1,10.2,.401,5.4,10.2,.524,.563,7.0,7.8,.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,lillada01,PG,30,43,43,36.1,9.2,20.6,.449,4.2,11.2,.376,5.0,9.3,.537,.551,7.3,7.7,.943,0.5,3.9,4.3,7.7,0.9,0.3,3.3,1.6,30.0,2474,26.9,.627,.500,.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,,10.9,0.7,11.6,.225,,8.3,-0.9,7.5,5.9,1553,26.6,.625,.545,.376,1.3,12.0,6.4,36.6,1.2,0.6,12.0,32.6,,6.6,0.1,6.8,.209,,7.6,-1.8,5.8,3.1,29802321,31626953,https://www.2kratings.com/wp-content/uploads/Damian-Lillard-2K-Rating.png,31626953,PG
Nassir Little,PF,19,POR,48,5,11.9,1.4,3.1,.430,0.3,1.2,.237,1.1,1.9,.554,.477,0.6,0.9,.636,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6,littlna01,PF,20,28,2,13.8,1.7,3.7,.466,0.8,2.0,.393,0.9,1.7,.553,.573,1.1,1.3,.857,0.8,1.8,2.6,0.5,0.1,0.4,0.4,1.1,5.3,573,9.6,.505,.391,.291,5.7,13.9,9.9,5.0,1.1,2.1,8.1,13.7,,0.3,0.3,0.6,.047,,-2.9,-0.6,-3.5,-0.2,386,13.6,.625,.544,.340,5.6,14.8,10.0,4.7,0.5,2.6,9.2,14.6,,0.7,0.1,0.8,.100,,0.0,-2.2,-2.2,0.0,2105520,2210640,https://www.2kratings.com/wp-content/uploads/Nassir-Little-2K-Rating.png,2210640,PF
Kevon Looney,C,23,GSW,20,4,13.1,1.5,4.0,.367,0.1,0.7,.071,1.4,3.3,.431,.373,0.5,0.6,.750,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4,looneke01,C,24,34,15,15.2,1.6,2.7,.602,0.1,0.3,.444,1.5,2.5,.619,.624,0.6,0.8,.741,1.6,2.5,4.1,1.6,0.4,0.4,0.6,1.9,4.0,262,9.4,.403,.177,.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,,-0.2,0.2,0.0,.006,,-4.8,-0.8,-5.6,-0.2,516,14.3,.648,.097,.290,11.5,17.2,14.4,14.6,1.3,2.2,17.3,10.5,,1.1,0.6,1.8,.164,,-1.0,0.9,-0.1,0.2,4464286,4821429,https://www.2kratings.com/wp-content/uploads/Kevon-Looney-2K-Rating.png,4821429,C
Brook Lopez,C,31,MIL,68,67,26.7,4.3,9.9,.435,1.5,4.8,.314,2.8,5.1,.549,.511,1.9,2.2,.836,0.9,3.7,4.6,1.5,0.7,2.4,1.0,2.4,12.0,lopezbr01,C,32,43,43,27.3,4.2,8.9,.472,1.5,4.5,.333,2.7,4.4,.614,.556,1.6,2.0,.833,1.4,3.6,5.0,0.7,0.6,1.4,0.9,2.0,11.5,1817,15.0,.551,.484,.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,,1.4,4.1,5.5,.145,,-0.4,2.5,2.0,1.9,1174,14.0,.591,.504,.220,5.5,13.5,9.6,3.4,1.0,4.4,8.7,16.3,,1.5,1.5,3.0,.121,,-0.2,-0.2,-0.5,0.5,12093024,12697675,https://www.2kratings.com/wp-content/uploads/Brook-Lopez-2K-Rating.png,12697675,C
Robin Lopez,C,31,MIL,66,5,14.5,2.2,4.5,.492,0.5,1.6,.333,1.7,2.9,.577,.550,0.4,0.8,.528,0.8,1.6,2.4,0.7,0.2,0.7,1.0,1.5,5.4,lopezro01,C,32,43,9,20.1,3.3,5.6,.587,0.1,0.3,.333,3.2,5.3,.604,.597,1.5,2.2,.699,2.2,1.9,4.1,0.8,0.3,0.6,1.0,1.8,8.2,958,10.2,.554,.351,.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,,-0.1,1.6,1.5,.077,,-3.0,0.4,-2.6,-0.2,864,14.6,.626,.062,.384,11.7,10.0,10.9,6.0,0.6,2.5,13.7,15.8,,1.5,0.4,1.8,.102,,-0.7,-1.9,-2.5,-0.1,4767000,7300000,https://www.2kratings.com/wp-content/uploads/Robin-Lopez-2K-Rating.png,5005350,C
Kevin Love,PF,31,CLE,56,56,31.8,5.8,13.0,.450,2.6,7.0,.374,3.2,6.0,.537,.550,3.3,3.9,.854,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6,loveke01,PF,32,4,4,14.5,1.8,5.5,.318,1.0,3.0,.333,0.8,2.5,.300,.409,1.3,1.8,.714,0.5,2.8,3.3,1.3,0.3,0.0,0.8,0.8,5.8,1780,17.9,.599,.536,.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,,2.5,1.3,3.8,.101,,2.6,-0.5,2.0,1.8,58,8.9,.459,.545,.318,3.8,21.7,12.5,12.5,0.8,0.0,10.7,20.9,,0.0,0.0,0.0,-0.001,,-2.3,-1.5,-3.8,0.0,28900000,31300000,https://www.2kratings.com/wp-content/uploads/Kevin-Love-2K-Rating.png,31300000,PF
Kyle Lowry,PG,33,TOR,58,58,36.2,5.8,13.8,.416,2.8,8.0,.352,2.9,5.8,.504,.518,5.1,5.9,.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4,lowryky01,PG,34,37,37,34.8,5.8,13.1,.439,2.8,7.1,.395,3.0,6.1,.491,.545,3.1,3.5,.884,0.9,4.7,5.6,7.5,1.1,0.3,2.9,3.2,17.4,2098,17.7,.590,.580,.427,1.6,12.8,7.3,30.6,1.9,1.2,15.7,23.1,,4.2,3.3,7.5,.171,,2.2,1.0,3.2,2.8,1289,16.5,.593,.538,.266,2.7,15.4,8.8,32.5,1.5,0.8,16.7,21.8,,2.3,1.0,3.3,.122,,1.8,-0.7,1.1,1.0,33296296,30000000,https://www.2kratings.com/wp-content/uploads/Kyle-Lowry-2K-Rating.png,30000000,PG
Timothé Luwawu-Cabarrot,SF,24,BRK,47,2,18.1,2.5,5.7,.435,1.3,3.4,.388,1.2,2.3,.505,.550,1.5,1.7,.852,0.6,2.1,2.7,0.6,0.4,0.1,0.8,2.3,7.8,luwawti01,SF,25,38,7,19.4,2.5,6.5,.383,1.5,4.3,.352,1.0,2.3,.442,.498,0.6,0.8,.767,0.5,1.9,2.4,1.3,0.7,0.1,0.8,1.8,7.1,853,11.0,.599,.595,.301,3.6,11.6,7.7,4.9,1.0,0.7,10.8,16.8,,0.9,0.7,1.7,.095,,-1.8,-0.5,-2.2,-0.1,738,8.8,.517,.653,.121,2.9,10.8,7.0,8.5,1.8,0.6,10.9,17.3,,-0.1,0.5,0.4,.028,,-2.5,-1.2,-3.8,-0.3,189702,1824003,https://www.2kratings.com/wp-content/uploads/Timothe-Luwawu-Cabarrot-2K-Rating.png,1824003,SF
Trey Lyles,PF,24,SAS,63,53,20.2,2.4,5.4,.446,1.0,2.7,.387,1.4,2.8,.503,.541,0.5,0.7,.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4,lylestr01,PF,25,23,9,15.6,1.9,3.9,.478,0.6,1.7,.350,1.3,2.2,.580,.556,0.7,1.0,.652,0.4,3.3,3.7,0.6,0.3,0.0,0.3,0.6,5.0,1271,12.6,.557,.490,.131,6.0,24.6,15.3,7.2,1.1,1.9,9.7,13.6,,1.2,1.0,2.2,.083,,-0.5,-0.7,-1.2,0.3,358,11.4,.574,.444,.256,2.6,23.0,12.6,5.3,0.8,0.2,5.7,12.9,,0.3,0.4,0.7,.093,,-1.2,-0.7,-1.9,0.0,5500000,5500000,https://www.2kratings.com/wp-content/uploads/Trey-Lyles-2K-Rating.png,5500000,PF
Daryl Macon,PG,24,FA,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8,maconda01,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-3.1,.500,.667,.000,0.0,0.0,0.0,9.7,0.0,0.0,40.0,15.7,,0.0,0.0,0.0,-0.161,,-7.0,-4.4,-11.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/maconda01.jpg,,PG
J.P. Macura,SG,24,FA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,macurjp01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.022,,-5.2,-1.2,-6.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,81678,,https://www.basketball-reference.com/req/202101021/images/players/macurjp01.jpg,,SG
Josh Magette,PG,30,FA,8,0,4.8,0.6,1.9,.333,0.1,0.5,.250,0.5,1.4,.364,.367,0.1,0.3,.500,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,magetjo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5.1,.378,.267,.133,2.7,14.6,8.5,19.2,3.8,2.4,23.9,23.7,,-0.2,0.1,-0.1,-0.127,,-7.9,1.6,-6.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,81678,,https://www.basketball-reference.com/req/202101021/images/players/magetjo01.jpg,,PG
Ian Mahinmi,C,33,FA,38,35,21.3,2.7,5.5,.495,0.1,0.7,.192,2.6,4.8,.538,.507,1.8,3.0,.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4,mahinia01,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,14.2,.545,.124,.538,10.1,19.7,14.7,8.3,1.8,4.8,14.8,15.7,,0.7,0.7,1.4,.083,,-2.8,0.0,-2.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,,15450051,,https://www.basketball-reference.com/req/202101021/images/players/mahinia01.jpg,,C
Thon Maker,C,22,FA,60,14,12.9,1.6,3.2,.482,0.4,1.1,.344,1.2,2.2,.550,.539,1.2,1.8,.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7,makerth01,C,23,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8,776,13.7,.582,.332,.570,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,,0.7,0.8,1.5,.096,,-2.1,0.7,-1.4,0.1,76,18.9,.657,.111,.611,11.5,15.0,13.2,7.8,1.3,4.7,11.6,14.7,,0.2,0.1,0.3,.179,,0.3,1.2,1.5,0.1,3569643,309355,https://www.2kratings.com/wp-content/uploads/Thon-Maker-2K-Rating.png,,C
Terance Mann,SF,23,LAC,41,6,8.8,0.9,1.9,.468,0.2,0.5,.350,0.7,1.4,.508,.513,0.4,0.7,.667,0.2,1.1,1.3,1.3,0.3,0.1,0.4,1.1,2.4,mannte01,SG,24,43,4,16.9,2.0,4.2,.478,0.4,1.1,.362,1.6,3.1,.519,.525,1.0,1.3,.804,0.8,2.9,3.7,1.3,0.4,0.2,0.6,1.7,5.5,362,10.6,.545,.253,.342,2.9,12.6,7.9,19.3,1.4,1.2,16.5,12.6,,0.4,0.4,0.8,.106,,-2.8,1.2,-1.6,0.0,728,12.2,.571,.258,.308,5.7,18.7,12.3,9.9,1.2,1.1,11.2,14.2,,1.0,0.8,1.7,.114,,-1.8,0.2,-1.6,0.1,1000000,1517984,https://www.2kratings.com/wp-content/uploads/Terance-Mann-2K-Rating.png,1517984,SG
Boban Marjanović,C,31,DAL,44,5,9.6,2.8,4.8,.573,0.1,0.4,.235,2.7,4.4,.603,.583,1.0,1.3,.754,1.5,3.0,4.5,0.5,0.2,0.2,0.7,1.3,6.6,marjabo01,C,32,20,1,7.6,1.9,3.9,.494,0.0,0.2,.000,1.9,3.7,.521,.494,0.6,0.8,.750,1.5,2.4,3.9,0.2,0.1,0.1,0.4,0.8,4.4,422,25.7,.612,.081,.270,16.6,32.1,24.5,8.3,0.9,2.0,11.3,26.9,,1.2,0.6,1.8,.200,,2.8,-1.6,1.2,0.3,151,21.3,.524,.052,.208,22.3,34.2,28.4,4.4,0.3,1.2,8.7,27.1,,0.2,0.2,0.4,.128,,0.5,-4.3,-3.8,-0.1,3500000,3500000,https://www.2kratings.com/wp-content/uploads/Boban-Marjanovic-2K-Rating.png,3500000,C
Lauri Markkanen,PF,22,CHI,50,50,29.8,5.0,11.8,.425,2.2,6.3,.344,2.8,5.5,.518,.517,2.5,3.1,.824,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7,markkla01,PF,23,23,23,30.0,6.3,13.2,.482,2.8,7.1,.390,3.6,6.0,.590,.587,2.2,2.7,.836,0.8,5.1,5.9,1.0,0.6,0.5,1.3,1.9,17.7,1492,14.3,.560,.536,.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,,1.0,1.6,2.6,.084,,0.2,-0.8,-0.6,0.5,691,16.4,.617,.541,.201,3.1,18.3,10.9,4.8,0.9,1.4,8.3,22.3,,1.0,0.7,1.6,.114,,1.9,-1.4,0.6,0.5,5300400,6731508,https://www.2kratings.com/wp-content/uploads/Lauri-Markkanen-2K-Rating.png,6731508,PF
Caleb Martin,SF,24,CHO,18,1,17.6,2.1,4.7,.440,1.1,2.1,.541,0.9,2.6,.362,.560,0.9,1.2,.810,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2,martica02,SF,25,30,1,14.2,1.9,4.8,.403,0.7,2.1,.317,1.3,2.7,.469,.472,0.7,1.2,.595,0.7,1.8,2.5,1.0,0.8,0.2,0.7,1.0,5.3,317,12.0,.595,.440,.250,3.3,10.0,6.5,11.1,1.9,2.0,13.9,15.0,,0.3,0.2,0.5,.081,,-1.6,0.6,-1.0,0.1,427,11.4,.493,.438,.257,5.0,14.2,9.6,10.2,2.8,1.7,11.1,18.0,,-0.1,0.5,0.4,.046,,-2.2,-0.2,-2.4,0.0,898310,1517981,https://www.2kratings.com/wp-content/uploads/Caleb-Martin-2K-Rating.png,1517981,SF
Cody Martin,SF,24,CHO,48,3,18.8,1.9,4.3,.430,0.4,1.6,.234,1.5,2.7,.546,.473,0.9,1.4,.646,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0,martico01,SF,25,31,2,13.3,1.6,3.3,.495,0.3,1.0,.281,1.3,2.2,.594,.540,0.5,0.6,.700,0.9,1.6,2.5,1.2,0.5,0.2,0.6,0.8,4.0,903,10.5,.505,.372,.314,4.4,15.1,9.6,15.7,2.2,0.9,15.7,13.6,,0.2,0.8,1.0,.052,,-3.1,1.0,-2.2,0.0,412,12.2,.560,.317,.198,7.3,13.7,10.4,12.8,1.8,1.2,14.8,13.3,,0.4,0.3,0.7,.086,,-1.4,-0.4,-1.8,0.0,1173310,1517981,https://www.2kratings.com/wp-content/uploads/Cody-Martin-2K-Rating.png,1517981,SF
Jeremiah Martin,PG,23,FA,9,0,11.0,2.7,5.9,.453,0.6,2.0,.278,2.1,3.9,.543,.500,1.2,1.6,.786,0.1,1.0,1.1,2.0,0.8,0.2,0.4,0.8,7.1,martije02,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,21.8,.541,.340,.264,1.1,9.2,5.2,30.8,3.3,1.7,6.3,26.7,,0.2,0.1,0.4,.176,,1.5,1.7,3.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/req/202101021/images/players/martije02.jpg,,PG
Kelan Martin,SF,24,FA,31,4,16.0,2.3,5.8,.392,0.8,3.1,.260,1.5,2.7,.541,.461,1.0,1.0,.968,0.4,2.7,3.1,0.7,0.2,0.3,0.6,1.6,6.4,martike03,SF,25,14,0,3.9,0.5,1.5,.333,0.1,0.6,.222,0.4,0.9,.417,.381,0.1,0.1,1.000,0.1,0.8,0.9,0.1,0.2,0.1,0.3,0.4,1.3,495,9.2,.506,.530,.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,,-0.1,0.3,0.2,.023,,-3.3,-1.0,-4.3,-0.3,54,4.7,.411,.429,.095,2.1,23.0,12.5,2.5,2.7,1.6,15.5,20.7,,-0.2,0.1,-0.1,-0.089,,-7.2,-0.7,-7.9,-0.1,,1445697,https://www.2kratings.com/wp-content/uploads/Kelan-Martin-2K-Rating.png,,SF
Frank Mason III,PG,25,FA,9,0,13.1,2.6,5.7,.451,0.7,2.3,.286,1.9,3.3,.567,.510,1.1,1.9,.588,0.6,1.6,2.1,3.2,0.6,0.1,1.2,1.2,6.9,masonfr01,PG,26,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3,118,16.9,.530,.412,.333,4.5,11.1,8.0,35.0,1.9,0.7,15.8,24.3,,0.1,0.2,0.4,.143,,-0.6,0.6,0.0,0.1,79,7.5,.462,.208,.292,3.8,12.2,7.9,22.1,0.0,0.0,15.6,17.6,,0.0,0.0,0.0,-0.005,,-6.1,-3.1,-9.2,-0.1,,,https://www.basketball-reference.com/req/202101021/images/players/masonfr01.jpg,,PG
Garrison Mathews,SG,23,FA,18,0,12.6,1.3,3.1,.429,1.1,2.6,.413,0.3,0.6,.500,.598,1.7,1.9,.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4,mathega01,SG,24,37,21,18.0,1.9,4.4,.438,1.5,3.5,.419,0.5,0.9,.515,.605,1.6,1.8,.896,0.4,1.3,1.7,0.5,0.6,0.2,0.1,1.9,6.9,227,13.1,.691,.821,.607,2.8,9.0,5.8,5.8,1.6,0.4,10.1,14.5,,0.6,0.1,0.6,.131,,-0.6,-0.5,-1.1,0.1,665,12.2,.668,.796,.414,2.1,7.9,4.9,3.6,1.7,0.8,2.5,12.3,,1.4,0.3,1.8,.129,,-0.4,-0.2,-0.6,0.2,,,https://www.2kratings.com/wp-content/uploads/Garrison-Mathews-2K-Rating.png,,SG
Wesley Matthews,SG,33,MIL,67,67,24.4,2.5,6.3,.396,1.6,4.4,.364,0.9,1.9,.472,.524,0.8,1.0,.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4,matthwe02,SG,34,38,5,20.3,1.5,4.1,.359,1.1,3.3,.347,0.3,0.8,.406,.497,0.3,0.4,.813,0.3,1.1,1.4,1.0,0.6,0.3,0.4,1.5,4.4,1635,8.1,.547,.704,.161,1.4,8.2,5.0,7.1,1.1,0.5,8.7,12.5,,0.8,2.4,3.2,.093,,-2.6,0.7,-1.8,0.1,771,6.2,.515,.795,.103,1.8,6.1,4.0,6.3,1.3,1.5,9.4,10.1,,0.1,1.0,1.1,.069,,-3.3,0.3,-3.0,-0.2,2564753,3623000,https://www.2kratings.com/wp-content/uploads/Wesley-Matthews-2K-Rating.png,2692991,SG
Luc Mbah a Moute,PF,33,FA,3,0,8.3,0.7,1.7,.400,0.0,0.7,.000,0.7,1.0,.667,.400,0.3,0.7,.500,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.7,mbahalu01,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,6.4,.425,.400,.400,4.2,4.2,4.2,0.0,3.7,0.0,14.5,11.4,,0.0,0.0,0.0,-0.008,,-5.2,-2.2,-7.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,289803,,https://www.basketball-reference.com/req/202101021/images/players/mbahalu01.jpg,,PF
