player,2020_pos,2020_age,team_id,2020_g,2020_gs,2020_mp_per_g,2020_fg_per_g,2020_fga_per_g,2020_fg_pct,2020_fg3_per_g,2020_fg3a_per_g,2020_fg3_pct,2020_fg2_per_g,2020_fg2a_per_g,2020_fg2_pct,2020_efg_pct,2020_ft_per_g,2020_fta_per_g,2020_ft_pct,2020_orb_per_g,2020_drb_per_g,2020_trb_per_g,2020_ast_per_g,2020_stl_per_g,2020_blk_per_g,2020_tov_per_g,2020_pf_per_g,2020_pts_per_g,player_id,2021_pos,2021_age,2021_g,2021_gs,2021_mp_per_g,2021_fg_per_g,2021_fga_per_g,2021_fg_pct,2021_fg3_per_g,2021_fg3a_per_g,2021_fg3_pct,2021_fg2_per_g,2021_fg2a_per_g,2021_fg2_pct,2021_efg_pct,2021_ft_per_g,2021_fta_per_g,2021_ft_pct,2021_orb_per_g,2021_drb_per_g,2021_trb_per_g,2021_ast_per_g,2021_stl_per_g,2021_blk_per_g,2021_tov_per_g,2021_pf_per_g,2021_pts_per_g,2020_mp,2020_per,2020_ts_pct,2020_fg3a_per_fga_pct,2020_fta_per_fga_pct,2020_orb_pct,2020_drb_pct,2020_trb_pct,2020_ast_pct,2020_stl_pct,2020_blk_pct,2020_tov_pct,2020_usg_pct,2020_ws-dum,2020_ows,2020_dws,2020_ws,2020_ws_per_48,2020_bpm-dum,2020_obpm,2020_dbpm,2020_bpm,2020_vorp,2021_mp,2021_per,2021_ts_pct,2021_fg3a_per_fga_pct,2021_fta_per_fga_pct,2021_orb_pct,2021_drb_pct,2021_trb_pct,2021_ast_pct,2021_stl_pct,2021_blk_pct,2021_tov_pct,2021_usg_pct,2021_ws-dum,2021_ows,2021_dws,2021_ws,2021_ws_per_48,2021_bpm-dum,2021_obpm,2021_dbpm,2021_bpm,2021_vorp,2020_salary,2021_salary,img_link
Tyrese Maxey,,,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,maxeyty01,SG,20,35,6,15.4,3.3,7.2,.451,0.4,1.6,.268,2.8,5.6,.503,.480,0.7,0.8,.852,0.2,1.5,1.7,1.7,0.4,0.2,0.7,1.1,7.6,,,,,,,,,,,,,,,,,,,,,,,,538,12.6,.502,.221,.107,1.7,10.4,6.2,17.0,1.3,1.0,8.0,22.7,,0.1,0.6,0.7,.062,,-2.2,-1.0,-3.3,-0.2,,2478840,https://www.2kratings.com/wp-content/uploads/Tyrese-Maxey-2K-Rating.png
Skylar Mays,,,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,mayssk01,SG,23,18,0,7.6,1.1,2.8,.380,0.4,1.3,.348,0.6,1.5,.407,.460,0.9,1.0,.889,0.4,0.4,0.8,1.0,0.3,0.0,0.3,0.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,137,15.2,.535,.460,.360,5.7,5.5,5.6,19.3,2.1,0.0,7.9,19.7,,0.3,0.1,0.4,.125,,1.2,-0.8,0.4,0.1,,,https://www.2kratings.com/wp-content/uploads/Skylar-Mays-2K-Rating.png
Jaden McDaniels,,,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,mcdanja02,PF,20,33,1,19.5,2.1,4.9,.423,1.0,2.8,.374,1.1,2.2,.486,.528,0.4,0.7,.500,0.6,2.7,3.3,1.0,0.4,1.0,0.7,2.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,644,8.7,.530,.558,.147,3.2,15.4,9.1,6.8,1.0,4.2,12.1,12.9,,0.0,0.5,0.4,.033,,-3.9,0.1,-3.8,-0.3,,1964760,https://www.2kratings.com/wp-content/uploads/Jaden-McDaniels-2K-Rating.png
Sean McDermott,,,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,mcderse01,SF,24,9,0,14.6,1.2,2.8,.440,0.6,1.8,.313,0.7,1.0,.667,.540,0.7,0.7,1.000,0.4,0.9,1.3,0.4,0.2,0.2,0.4,0.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,131,7.7,.597,.640,.240,3.2,6.9,5.0,3.8,0.7,1.4,12.6,10.2,,0.1,0.1,0.2,.062,,-2.6,-1.7,-4.3,-0.1,,,https://www.2kratings.com/wp-content/uploads/Sean-McDermott-2K-Rating.png
Sam Merrill,,,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,merrisa01,SG,24,14,0,5.9,0.6,1.4,.421,0.4,0.9,.500,0.1,0.5,.286,.579,0.1,0.1,1.000,0.3,0.7,1.0,0.8,0.1,0.0,0.2,0.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,82,12.1,.604,.632,.105,5.3,12.4,9.0,16.2,1.1,0.0,13.1,11.7,,0.2,0.1,0.2,.134,,-0.1,-0.9,-1.0,0.0,,898310,https://www.2kratings.com/wp-content/uploads/Sam-Merrill-2K-Rating.png
Darius Miller,,,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,milleda01,SF,30,14,0,10.4,1.0,2.2,.452,0.8,1.9,.407,0.2,0.3,.750,.629,0.6,0.6,1.000,0.1,1.3,1.4,1.1,0.6,0.3,0.4,0.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,145,14.8,.686,.871,.290,0.7,12.9,6.9,15.5,2.6,2.4,14.6,12.3,,0.3,0.2,0.5,.156,,0.4,2.6,3.0,0.2,7250000,7000000,https://www.2kratings.com/wp-content/uploads/Darius-Miller-2K-Rating.png
Aaron Nesmith,,,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,nesmiaa01,SF,21,19,0,15.3,1.4,3.5,.394,0.9,2.6,.360,0.4,0.8,.500,.530,0.4,0.6,.667,0.5,1.8,2.3,0.4,0.2,0.3,0.6,1.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,290,6.4,.547,.758,.182,3.8,13.3,8.5,3.6,0.7,1.6,13.4,12.2,,0.1,0.2,0.2,.036,,-3.6,-0.8,-4.4,-0.2,,3458400,https://www.2kratings.com/wp-content/uploads/Aaron-Nesmith-2K-Rating.png
Zeke Nnaji,,,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,nnajize01,PF,20,25,1,10.2,1.3,2.5,.516,0.6,1.4,.417,0.7,1.0,.654,.637,0.2,0.3,.714,0.4,1.0,1.4,0.2,0.1,0.1,0.2,0.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,254,10.8,.645,.581,.113,5.0,11.0,8.0,2.1,0.6,0.8,7.1,12.1,,0.4,0.1,0.5,.095,,-0.4,-2.1,-2.5,0.0,,2379840,https://www.2kratings.com/wp-content/uploads/Zeke-Nnaji-2K-Rating.png
Jordan Nwora,,,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,nworajo01,SF,22,10,0,8.2,1.7,3.7,.459,0.8,1.6,.500,0.9,2.1,.429,.568,0.9,1.0,.900,0.1,1.4,1.5,0.0,0.4,0.2,1.0,0.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,82,12.8,.616,.432,.270,1.3,17.4,9.6,0.0,2.3,2.2,19.5,26.3,,-0.1,0.1,0.0,.025,,-3.6,-1.9,-5.4,-0.1,,898310,https://www.2kratings.com/wp-content/uploads/Jordan-Nwora-2K-Rating.png
Chuma Okeke,,,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,okekech01,PF,22,23,2,22.2,1.7,4.6,.371,0.9,2.4,.357,0.8,2.1,.388,.467,0.3,0.6,.615,1.0,2.6,3.5,2.0,0.8,0.4,0.7,1.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,511,9.0,.479,.533,.124,4.3,12.4,8.2,12.1,1.7,1.6,12.6,10.7,,0.1,0.5,0.6,.052,,-2.9,0.3,-2.7,-0.1,,3121080,https://www.2kratings.com/wp-content/uploads/Chuma-Okeke-2K-Rating.png
